cve_id,description,cvss_score,severity_label
CVE-2023-1000,The application suffers from spoofing which may lead to sensitive data leaks.,5.1,Medium
CVE-2023-1001,An attacker can exploit a denial of service vulnerability to compromise the system.,8.2,High
CVE-2023-1002,The application suffers from bypass which may lead to sensitive data leaks.,4.0,Medium
CVE-2023-1003,A minor issue related to deprecated algorithm was discovered.,2.7,Low
CVE-2023-1004,An attacker can exploit a dos vulnerability to compromise the system.,8.6,High
CVE-2023-1005,The application suffers from spoofing which may lead to sensitive data leaks.,6.4,Medium
CVE-2023-1006,The application suffers from spoofing which may lead to sensitive data leaks.,6.0,Medium
CVE-2023-1007,"A minor issue related to version exposure was discovered. However, it requires physical access and user interaction.",9.5,Low
CVE-2023-1008,The application suffers from directory traversal which may lead to sensitive data leaks.,4.2,Medium
CVE-2023-1009,An attacker can exploit a dos vulnerability to compromise the system.,8.1,High
CVE-2023-1010,A minor issue related to local access was discovered.,3.6,Low
CVE-2023-1011,An attacker can exploit a privilege escalation vulnerability to compromise the system.,8.7,High
CVE-2023-1012,"A minor issue related to deprecated algorithm was discovered. However, it requires physical access and user interaction.",9.9,Low
CVE-2023-1013,The application suffers from bypass which may lead to sensitive data leaks.,5.0,Medium
CVE-2023-1014,A vulnerability allows remote code execution via crafted payload.,9.9,Critical
CVE-2023-1015,The application suffers from spoofing which may lead to sensitive data leaks.,6.3,Medium
CVE-2023-1016,The application suffers from spoofing which may lead to sensitive data leaks.,5.9,Medium
CVE-2023-1017,The application suffers from directory traversal which may lead to sensitive data leaks.,4.8,Medium
CVE-2023-1018,A minor issue related to version exposure was discovered.,3.2,Low
CVE-2023-1019,An attacker can exploit a xss vulnerability to compromise the system.,7.9,High
CVE-2023-1020,A vulnerability allows remote code execution via crafted payload.,9.0,Critical
CVE-2023-1021,A vulnerability allows sql injection via crafted payload.,10.0,Critical
CVE-2023-1022,A vulnerability allows rce via crafted payload.,9.5,Critical
CVE-2023-1023,An attacker can exploit a cross-site scripting vulnerability to compromise the system.,7.8,High
CVE-2023-1024,The application suffers from csrf which may lead to sensitive data leaks.,4.3,Medium
CVE-2023-1025,An attacker can exploit a xss vulnerability to compromise the system.,8.6,High
CVE-2023-1026,An attacker can exploit a denial of service vulnerability to compromise the system.,7.9,High
CVE-2023-1027,An attacker can exploit a privilege escalation vulnerability to compromise the system.,7.8,High
CVE-2023-1028,A minor issue related to complex setup was discovered.,2.6,Low
CVE-2023-1029,The application suffers from information disclosure which may lead to sensitive data leaks.,4.4,Medium
CVE-2023-1030,A vulnerability allows default password via crafted payload.,9.2,Critical
CVE-2023-1031,The application suffers from bypass which may lead to sensitive data leaks.,5.4,Medium
CVE-2023-1032,"The application suffers from bypass which may lead to sensitive data leaks. However, it requires physical access and user interaction.",8.4,Low
CVE-2023-1033,The application suffers from bypass which may lead to sensitive data leaks.,6.7,Medium
CVE-2023-1034,The application suffers from bypass which may lead to sensitive data leaks.,6.5,Medium
CVE-2023-1035,An attacker can exploit a xss vulnerability to compromise the system.,8.4,High
CVE-2023-1036,An attacker can exploit a xss vulnerability to compromise the system.,7.6,High
CVE-2023-1037,The application suffers from information disclosure which may lead to sensitive data leaks.,5.7,Medium
CVE-2023-1038,A minor issue related to minor ui bug was discovered.,1.9,Low
CVE-2023-1039,An attacker can exploit a buffer overflow vulnerability to compromise the system.,7.7,High
CVE-2023-1040,A minor issue related to deprecated algorithm was discovered.,1.5,Low
CVE-2023-1041,The application suffers from csrf which may lead to sensitive data leaks.,5.3,Medium
CVE-2023-1042,The application suffers from directory traversal which may lead to sensitive data leaks.,4.4,Medium
CVE-2023-1043,The application suffers from csrf which may lead to sensitive data leaks.,6.0,Medium
CVE-2023-1044,A vulnerability allows remote code execution via crafted payload.,9.6,Critical
CVE-2023-1045,An attacker can exploit a denial of service vulnerability to compromise the system.,8.0,High
CVE-2023-1046,A vulnerability allows remote code execution via crafted payload.,9.6,Critical
CVE-2023-1047,The application suffers from directory traversal which may lead to sensitive data leaks.,4.5,Medium
CVE-2023-1048,The application suffers from bypass which may lead to sensitive data leaks.,5.2,Medium
CVE-2023-1049,The application suffers from csrf which may lead to sensitive data leaks.,5.3,Medium
CVE-2023-1050,The application suffers from spoofing which may lead to sensitive data leaks.,6.8,Medium
CVE-2023-1051,A minor issue related to local access was discovered.,3.4,Low
