cve_id,description,cvss_score,severity_label
CVE-1999-0084,Certain NFS servers allow users to use mknod to gain privileges by creating a writable kmem device and setting the UID to 0.,8.4,High
CVE-1999-0066,AnyForm CGI remote execution.,9.8,Critical
CVE-1999-0022,"Local user gains root privileges via buffer overflow in rdist, via expstr() function.",7.8,High
CVE-1999-0043,"Command execution via shell metachars in INN daemon (innd) 1.5 using ""newgroup"" and ""rmgroup"" control messages, and others.",9.8,Critical
CVE-1999-0236,ScriptAlias directory in NCSA and Apache httpd allowed attackers to read CGI programs.,7.5,High
CVE-1999-0038,Buffer overflow in xlock program allows local users to execute commands as root.,8.4,High
CVE-1999-0039,webdist CGI program (webdist.cgi) in SGI IRIX allows remote attackers to execute arbitrary commands via shell metacharacters in the distloc parameter.,7.3,High
CVE-1999-0036,IRIX login program with a nonzero LOCKOUT parameter allows creation or damage to files.,8.4,High
CVE-1999-0035,"Race condition in signal handling routine in ftpd, allowing read/write arbitrary files.",5.4,Medium
CVE-1999-0059,IRIX fam service allows an attacker to obtain a list of all files on the server.,7.3,High
CVE-1999-0029,root privileges via buffer overflow in ordist command on SGI IRIX systems.,8.4,High
CVE-1999-0239,"Netscape FastTrack Web server lists files when a lowercase ""get"" command is used instead of an uppercase GET.",7.5,High
CVE-1999-0013,"Stolen credentials from SSH clients via ssh-agent program, allowing other local users to access remote accounts belonging to the ssh-agent user.",8.4,High
CVE-1999-0012,Some web servers under Microsoft Windows allow remote attackers to bypass access restrictions for files with long file names.,7.0,High
CVE-1999-0011,Denial of Service vulnerabilities in BIND 4.9 and BIND 8 Releases via CNAME record and zone transfer.,5.4,Medium
CVE-1999-0069,Solaris ufsrestore buffer overflow.,8.4,High
CVE-1999-1152,"Compaq/Microcom 6000 Access Integrator does not disconnect a client after a certain number of failed login attempts, which allows remote attackers to guess usernames or passwords via a brute force attack.",7.5,High
CVE-1999-0783,FreeBSD allows local users to conduct a denial of service by creating a hard link from a device special file to a file on an NFS file system.,5.5,Medium
CVE-1999-0006,Buffer overflow in POP servers based on BSD/Qualcomm's qpopper allows remote attackers to gain root access using a long PASS command.,9.8,Critical
CVE-1999-0159,"Attackers can crash a Cisco IOS router or device, provided they can get to an interactive prompt (such as a login).  This applies to some IOS 9.x, 10.x, and 11.x releases.",3.5,Low
CVE-1999-0052,IP fragmentation denial of service in FreeBSD allows a remote attacker to cause a crash.,7.5,High
CVE-1999-1568,Off-by-one error in NcFTPd FTP server before 2.4.1 allows a remote attacker to cause a denial of service (crash) via a long PORT command.,7.5,High
CVE-1999-0426,The default permissions of /dev/kmem in Linux versions before 2.0.36 allows IP spoofing.,9.8,Critical
CVE-1999-0468,Internet Explorer 5.0 allows a remote server to read arbitrary files on the client's file system using the Microsoft Scriptlet Component.,8.2,High
CVE-1999-1549,"Lynx 2.x does not properly distinguish between internal and external HTML, which may allow a local attacker to read a ""secure"" hidden form value from a temporary file and craft a LYNXOPTIONS: URL that causes Lynx to modify the user's configuration file and execute commands.",7.8,High
CVE-1999-1127,"Windows NT 4.0 does not properly shut down invalid named pipe RPC connections, which allows remote attackers to cause a denial of service (resource exhaustion) via a series of connections containing malformed data, aka the ""Named Pipes Over RPC"" vulnerability.",7.5,High
CVE-1999-1324,"VAXstations running Open VMS 5.3 through 5.5-2 with VMS DECwindows or MOTIF do not properly disable access to user accounts that exceed the break-in limit threshold for failed login attempts, which makes it easier for attackers to conduct brute force password guessing.",9.8,Critical
CVE-1999-1386,"Perl 5.004_04 and earlier follows symbolic links when running with the -e option, which allows local users to overwrite arbitrary files via a symlink attack on the /tmp/perl-eaXXXXX file.",5.5,Medium
CVE-1999-1588,"Buffer overflow in nlps_server in Sun Solaris x86 2.4, 2.5, and 2.5.1 allows remote attackers to execute arbitrary code as root via a long string beginning with ""NLPS:002:002:"" to the listen (aka System V listener) port, TCP port 2766.",9.8,Critical
CVE-2000-1218,"The default configuration for the domain name resolver for Microsoft Windows 98, NT 4.0, 2000, and XP sets the QueryIpMatching parameter to 0, which causes Windows to accept DNS updates from hosts that it did not query, which allows remote attackers to poison the DNS cache.",9.8,Critical
CVE-2000-0338,"Concurrent Versions Software (CVS) uses predictable temporary file names for locking, which allows local users to cause a denial of service by creating the lock directory before it is created for use by a legitimate CVS user.",5.5,Medium
CVE-2000-0342,"Eudora 4.x allows remote attackers to bypass the user warning for executable attachments such as .exe, .com, and .bat by using a .lnk file that refers to the attachment, aka ""Stealth Attachment.""",7.5,High
CVE-2000-0552,"ICQwebmail client for ICQ 2000A creates a world readable temporary file during login and does not delete it, which allows local users to obtain sensitive information.",5.5,Medium
CVE-2000-0497,IBM WebSphere server 3.0.2 allows a remote attacker to view source code of a JSP program by requesting a URL which provides the JSP extension in upper case.,7.5,High
CVE-2000-0498,Unify eWave ServletExec allows a remote attacker to view source code of a JSP program by requesting a URL which provides the JSP extension in upper case.,7.5,High
CVE-2000-0499,The default configuration of BEA WebLogic 3.1.8 through 4.5.1 allows a remote attacker to view source code of a JSP program by requesting a URL which provides the JSP extension in upper case.,7.5,High
CVE-2000-0944,"CGI Script Center News Update 1.1 does not properly validate the original news administration password during a password change operation, which allows remote attackers to modify the password without knowing the original password.",9.8,Critical
CVE-2000-0972,"HP-UX 11.00 crontab allows local users to read arbitrary files via the -e option by creating a symlink to the target file during the crontab session, quitting the session, and reading the error messages that crontab generates.",5.5,Medium
CVE-2000-1178,"Joe text editor follows symbolic links when creating a rescue copy called DEADJOE during an abnormal exit, which allows local users to overwrite the files of other users whose joe session crashes.",5.5,Medium
CVE-2001-0006,"The Winsock2ProtocolCatalogMutex mutex in Windows NT 4.0 has inappropriate Everyone/Full Control permissions, which allows local users to modify the permissions to ""No Access"" and disable Winsock network connectivity to cause a denial of service, aka the ""Winsock Mutex"" vulnerability.",7.1,High
CVE-2001-0195,"sash before 3.4-4 in Debian GNU/Linux does not properly clone /etc/shadow, which makes it world-readable and could allow local users to gain privileges via password cracking.",7.8,High
CVE-2001-1391,Off-by-one vulnerability in CPIA driver of Linux kernel before 2.2.19 allows users to modify kernel memory.,5.5,Medium
CVE-2001-1339,"Beck IPC GmbH IPC@CHIP telnet service does not delay or disconnect users from the service when bad passwords are entered, which makes it easier for remote attackers to conduct brute force password guessing attacks.",9.8,Critical
CVE-2001-0248,"Buffer overflow in FTP server in HPUX 11 allows remote attackers to execute arbitrary commands by creating a long pathname and calling the STAT command, which uses glob to generate long strings.",9.8,Critical
CVE-2001-0249,"Heap overflow in FTP daemon in Solaris 8 allows remote attackers to execute arbitrary commands by creating a long pathname and calling the LIST command, which uses glob to generate long strings.",9.8,Critical
CVE-2001-0334,FTP service in IIS 5.0 and earlier allows remote attackers to cause a denial of service via a wildcard sequence that generates a long string when it is expanded.,7.5,High
CVE-2001-1043,ArGoSoft FTP Server 1.2.2.2 allows remote attackers to read arbitrary files and directories by uploading a .lnk (link) file that points to the target file.,7.5,High
CVE-2001-1386,"WFTPD 3.00 allows remote attackers to read arbitrary files by uploading a (link) file that ends in a "".lnk."" extension, which bypasses WFTPD's check for a "".lnk"" extension.",7.5,High
CVE-2001-0395,"Lightwave ConsoleServer 3200 does not disconnect users after unsuccessful login attempts, which could allow remote attackers to conduct brute force password guessing.",9.8,Critical
CVE-2001-1042,Transsoft Broker 5.9.5.0 allows remote attackers to read arbitrary files and directories by uploading a .lnk (link) file that points to the target file.,7.5,High
CVE-2001-1291,"The telnet server for 3Com hardware such as PS40 SuperStack II does not delay or disconnect remote attackers who provide an incorrect username or password, which makes it easier to break into the server via brute force password guessing.",9.8,Critical
CVE-2001-1238,"Task Manager in Windows 2000 does not allow local users to end processes with uppercase letters named (1) winlogon.exe, (2) csrss.exe, (3) smss.exe and (4) services.exe via the Process tab which could allow local users to install Trojan horses that cannot be stopped with the Task Manager.",7.8,High
CVE-2001-0497,"dnskeygen in BIND 8.2.4 and earlier, and dnssec-keygen in BIND 9.1.2 and earlier, set insecure permissions for a HMAC-MD5 shared secret key file used for DNS Transactional Signatures (TSIG), which allows attackers to obtain the keys and perform dynamic DNS updates.",7.8,High
CVE-2001-1471,"prefs.php in phpBB 1.4.0 and earlier allows remote authenticated users to execute arbitrary PHP code via an invalid language value, which prevents the variables (1) $l_statsblock in prefs.php or (2) $l_privnotify in auth.php from being properly initialized, which can be modified by the user and later used in an eval statement.",8.8,High
CVE-2001-0609,Format string vulnerability in Infodrom cfingerd 1.4.3 and earlier allows a remote attacker to gain additional privileges via a malformed ident reply that is passed to the syslog function.,9.8,Critical
CVE-2001-1155,"TCP Wrappers (tcp_wrappers) in FreeBSD 4.1.1 through 4.3 with the PARANOID ACL option enabled does not properly check the result of a reverse DNS lookup, which could allow remote attackers to bypass intended access restrictions via DNS spoofing.",9.8,Critical
CVE-2001-0682,ZoneAlarm and ZoneAlarm Pro allows a local attacker to cause a denial of service by running a trojan to initialize a ZoneAlarm mutex object which prevents ZoneAlarm from starting.,5.5,Medium
CVE-2000-1198,"qpopper POP server creates lock files with predictable names, which allows local users to cause a denial of service for other users (lack of mail access) by creating lock files for other mail boxes.",5.5,Medium
CVE-2001-0967,"Knox Arkeia server 4.2, and possibly other versions, uses a constant salt when encrypting passwords using the crypt() function, which makes it easier for an attacker to conduct brute force password guessing.",9.8,Critical
CVE-2001-1452,"By default, DNS servers on Windows NT 4.0 and Windows 2000 Server cache glue records received from non-delegated name servers, which allows remote attackers to poison the DNS cache via spoofed DNS responses.",7.5,High
CVE-2001-1125,"Symantec LiveUpdate before 1.6 does not use cryptography to ensure the integrity of download files, which allows remote attackers to execute arbitrary code via DNS spoofing of the update.symantec.com site.",9.8,Critical
CVE-2001-0766,Apache on MacOS X Client 10.0.3 with the HFS+ file system allows remote attackers to bypass access restrictions via a URL that contains some characters whose case is not matched by Apache's filters.,9.8,Critical
CVE-2001-0795,Perception LiteServe 1.25 allows remote attackers to obtain source code of CGI scripts via URLs that contain MS-DOS conventions such as (1) upper case letters or (2) 8.3 file names.,7.5,High
CVE-2001-0667,"Internet Explorer 6 and earlier, when used with the Telnet client in Services for Unix (SFU) 2.0, allows remote attackers to execute commands by spawning Telnet with a log file option on the command line and writing arbitrary code into an executable file which is later executed, aka a new variant of the Telnet Invocation vulnerability as described in CVE-2001-0150.",7.3,High
CVE-2001-0950,"ValiCert Enterprise Validation Authority (EVA) Administration Server 3.3 through 4.2.1 uses insufficiently random data to (1) generate session tokens for HSMs using the C rand function, or (2) generate certificates or keys using /dev/urandom instead of another source which blocks when the entropy pool is low, which could make it easier for local or remote attackers to steal tokens or certificates via brute force guessing.",7.5,High
CVE-2001-0827,"Cerberus FTP server 1.0 - 1.5 allows remote attackers to cause a denial of service (crash) via a large number of ""PASV"" requests.",7.5,High
CVE-2001-0830,"6tunnel 0.08 and earlier does not properly close sockets that were initiated by a client, which allows remote attackers to cause a denial of service (resource exhaustion) by repeatedly connecting to and disconnecting from the server.",7.5,High
CVE-2001-1481,"Xitami 2.4 through 2.5 b4 stores the Administrator password in plaintext in the default.aut file, whose default permissions are world-readable, which allows remote attackers to gain privileges.",9.8,Critical
CVE-2001-1494,"script command in the util-linux package before 2.11n allows local users to overwrite arbitrary files by setting a hardlink from the typescript log file to any file on the system, then having root execute the script command.",5.5,Medium
CVE-2001-1496,Off-by-one buffer overflow in Basic Authentication in Acme Labs thttpd 1.95 through 2.20 allows remote attackers to cause a denial of service and possibly execute arbitrary code.,9.8,Critical
CVE-2001-1515,"Macintosh clients, when using NT file system volumes on Windows 2000 SP1, create subdirectories and automatically modify the inherited NTFS permissions, which may cause the directories to have less restrictive permissions than intended.",7.5,High
CVE-2001-1533,"Microsoft Internet Security and Acceleration (ISA) Server 2000 allows remote attackers to cause a denial of service via a flood of fragmented UDP packets.  NOTE: the vendor disputes this issue, saying that it requires high bandwidth to exploit, and the server does not experience any instability.  Therefore this ""laws of physics"" issue might not be included in CVE",5.3,Medium
CVE-2001-1536,"Autogalaxy stores usernames and passwords in cleartext in cookies, which makes it easier for remote attackers to obtain authentication information and gain unauthorized access via sniffing or a cross-site scripting attack.",7.5,High
CVE-2001-1537,"The default ""basic"" security setting' in config.php for TWIG webmail 2.7.4 and earlier stores cleartext usernames and passwords in cookies, which could allow attackers to obtain authentication information and gain privileges.",7.5,High
CVE-2001-1546,"Pathways Homecare 6.5 uses weak encryption for user names and passwords, which allows local users to gain privileges by recovering the passwords from the pwhc.ini file.",7.8,High
CVE-2001-1559,"The uipc system calls (uipc_syscalls.c) in OpenBSD 2.9 and 3.0 provide user mode return instead of versus rval kernel mode values to the fdrelease function, which allows local users to cause a denial of service and trigger a null dereference.",5.5,Medium
CVE-2002-0059,"The decompression algorithm in zlib 1.1.3 and earlier, as used in many different utilities and packages, causes inflateEnd to release certain memory more than once (a ""double free""), which may allow local and remote attackers to execute arbitrary code via a block of malformed compression data.",9.8,Critical
CVE-2002-0083,Off-by-one error in the channel code of OpenSSH 2.0 through 3.0.2 allows local users or remote malicious servers to gain privileges.,9.8,Critical
CVE-2002-0051,Windows 2000 allows local users to prevent the application of new group policy settings by opening Group Policy files with exclusive-read access.,7.8,High
CVE-2002-0184,"Sudo before 1.6.6 contains an off-by-one error that can result in a heap-based buffer overflow that may allow local users to gain root privileges via special characters in the -p (prompt) argument, which are not properly expanded.",7.8,High
